"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219760_at",154.17238372093,232.286898837209,3.6761170085576,0.000413474225415854,0.0105658786295201,-4.50027129306043
"209841_s_at",293.247139534884,978.84761627907,3.67507101533542,0.000414937380685325,0.010591122169314,-4.500322282762
"220706_at",73.0313093023256,202.787968604651,3.67388864786406,0.000416597223311169,0.0106213225709872,-4.5003799124098
"210413_x_at",378.214953488372,1326.88287209302,3.67102403715716,0.000420644850627635,0.0107122619503264,-4.50051950095723
"211671_s_at",686.169534883721,2321.63034883721,3.66902379182698,0.000423493276924397,0.0107724893718109,-4.50061694062876
"203981_s_at",82.3359395348838,160.686204651163,3.66814219644042,0.000424754513081859,0.0107922517844961,-4.5006598788209
"218450_at",464.150023255814,1191.9983372093,3.6677902536253,0.000425259008864234,0.0107927636611865,-4.50067701891059
"202911_at",-344.260372093023,851.669674418605,-3.6663961443651,0.000427263007871015,0.0108198016875048,-4.50074490650249
"218640_s_at",-603.441906976744,1209.55253488372,-3.6663735964001,0.000427295493650059,0.0108198016875048,-4.5007460044017
"207469_s_at",117.539846511628,212.581120930233,3.66423839738764,0.000430382418012062,0.0108855975261779,-4.50084995687398
"211577_s_at",223.322413953488,457.008072093023,3.66354190354279,0.000431393935515402,0.0108906657357869,-4.50088385976282
"202540_s_at",-184.735734883721,240.867420930233,-3.66342750953743,0.000431560285630294,0.0108906657357869,-4.50088942778056
